04 AK 1 (4684,3459) 58x94
16 7 82 (3188,4295) 52x40
16 7 82 (2949,4261) 52x40
16 7 83 (3461,4176) 52x40
16 7 84 (3666,4226) 51x41
16 7 85 (3644,4527) 52x40
16 7 86 (3427,4671) 52x41
16 7 87 (3495,4878) 51x41
16 7 88 (3701,4740) 52x40
16 7 89 (3923,4706) 51x41
16 7 90 (3922,4494) 60x55
16 7 91 (3043,2772) 70x73
16 7 92 (3145,3013) 64x57
16 7 93 (3017,3303) 52x40
16 7 94 (2812,3216) 51x43
16 7 95 (2796,3525) 51x39
16 7 96 (3325,2173) 52x42
16 7 96A (3712,2041) 64x33
16 7 97 (3119,2037) 51x41
16 7 98 (2914,2218) 52x41
16 7 99 (2880,2002) 52x42
16 7 100 (2739,2002) 66x41
16 7 101 (2466,2002) 62x41
16 7 102 (2278,2174) 66x40
16 7 103 (2534,2789) 66x40
16 7 104 (2312,3062) 65x41
16 7 105 (2209,2772) 66x40
16 7 106 (2021,2411) 66x43
16 7 107 (1766,2630) 76x46
16 7 108 (1850,2961) 66x40
16 7 109 (1508,3012) 66x41
16 7 110 (1251,2893) 66x45
16 7 111 (1432,2613) 78x46
16 7 112 (1646,2208) 64x40
16 7 113 (1167,2139) 66x40
16 7 114 (739,2481) 65x41
16 7 115 (705,2105) 66x40
16 7 116 (791,1881) 66x41
16 7 117 (466,2191) 65x41
16 7 118 (364,1865) 65x40
16 7 119 (1919,1250) 66x41
16 7 120 (2466,1454) 66x40
16 7 121 (2363,1797) 62x40
16 7 122 (1919,1691) 66x40
16 7 123 (1543,1899) 66x40
16 7 124 (1645,1522) 65x41
16 7 125 (1064,1626) 66x40
16 7 126 (1030,1317) 66x41
16 7 127 (1543,1146) 65x41
16 7 128 (1132,975) 66x40
16 7 129 (1645,839) 66x41
16 7 130 (1950,663) 75x49
16 7 131 (2055,1112) 62x40
16 7 132 (2260,1112) 66x40
16 7 133 (1974,502) 59x32
16 7 134 (1508,358) 65x41
16 7 135 (1228,537) 28x31
16 7 136 (2021,255) 66x41
16 7 137 (2193,633) 64x41
16 7 138 (2397,497) 66x40
16 7 139 (2431,633) 66x41
16 7 140 (2978,906) 66x41
16 7 141 (3167,683) 60x41
16 7 142 (3388,803) 66x42
16 7 143 (3183,1043) 66x41
16 7 144 (3013,1522) 64x41
16 7 145 (3047,1762) 66x41
16 7 146 (3457,1762) 66x41
16 7 147 (3992,1791) 64x42
16 7 148 (3786,1202) 59x32
16 7 SL4-45 (6815,4695) 87x27
16 7 SL6-18 (1258,382) 58x27
16 7 SL6-26 (3378,4541) 60x30
16 7 SL7-9A (3803,1459) 61x27
16 7 SL7-31 (2113,1476) 57x25
16 7 SL9-49 (1156,2641) 57x24
16 7 SL13-33 (5303,6493) 72x24
16 7 T11 (3185,1525) 55x34
16 7 T16 (4667,1861) 59x34
16 7 T17 (4585,1946) 58x34
16 7 T17 (1322,2809) 57x45
16 7 T18 (1322,2968) 58x47
17 8 1 (1912,3307) 25x31
17 8 2 (2238,4257) 27x35
17 8 2 (1645,3812) 27x35
17 8 2 (1320,3221) 27x35
17 8 2 (1023,2862) 27x35
17 8 3 (1881,3072) 28x31
17 8 3-41A (1136,2555) 70x25
17 8 4 (2207,3041) 26x34
17 8 5 (2267,2891) 27x33
17 8 5-63 (2076,2227) 52x28
17 8 6 (2414,3045) 28x29
17 8 6-1 (1977,3412) 34x24
17 8 6-20 (1415,2349) 53x23
17 8 6-44B (3427,2326) 68x26
17 8 6-60 (4150,3343) 51x24
17 8 6-106 (2247,3946) 66x30
17 8 7 (2387,3338) 25x34
17 8 7-34 (2433,4603) 48x23
17 8 7-40 (3515,4854) 48x23
17 8 7A (2328,3220) 29x30
17 8 7B (2387,3221) 30x32
17 8 7C (2443,3217) 33x35
17 8 7D (2507,3217) 27x33
17 8 7E (2327,3453) 31x33
17 8 7F (2384,3452) 29x34
17 8 7G (2439,3451) 39x33
17 8 7H (2497,3449) 40x39
17 8 8 (2859,3309) 29x30
17 8 9 (2651,3042) 28x30
17 8 9-57 (2993,4334) 49x23
17 8 9-139 (4056,1428) 60x22
17 8 9-147 (5152,1458) 62x23
17 8 9-150 (5020,1666) 62x24
17 8 10 (2557,3103) 39x28
17 8 11 (2854,2804) 37x34
17 8 12 (3002,2968) 41x34
17 8 13 (3239,3042) 41x34
17 8 14 (3062,3159) 39x35
17 8 15 (3328,3218) 41x35
17 8 16 (3062,3398) 36x28
17 8 17 (3328,3545) 40x35
17 8 18 (3121,3634) 42x34
17 8 19 (3151,3843) 41x34
17 8 20 (2762,3606) 44x33
17 8 21 (2911,3783) 40x34
17 8 22 (2881,4170) 44x33
17 8 23 (3042,4235) 39x32
17 8 24 (2616,4318) 38x30
17 8 25 (2230,3813) 38x30
17 8 26 (2004,3818) 41x29
17 8 27 (1738,2967) 37x30
17 8 28 (1814,2833) 41x30
17 8 29 (1903,2567) 44x34
17 8 30 (1550,2748) 36x27
17 8 31 (1521,2599) 36x27
17 8 32 (1695,2478) 45x33
17 8 33 (1403,2418) 37x28
17 8 34 (1310,2506) 45x35
17 8 35 (1902,2151) 45x33
17 8 36 (1695,2242) 45x31
17 8 37 (1488,2090) 44x34
17 8 38 (1014,2033) 46x31
17 8 39 (777,2032) 45x32
17 8 40 (569,2090) 45x34
17 8 41 (362,2031) 41x35
17 8 42 (891,2317) 37x29
17 8 43 (816,2360) 37x30
17 8 44 (1073,2373) 43x34
17 8 45 (1325,2120) 45x35
17 8 46 (1428,1765) 45x34
17 8 47 (1547,1557) 44x34
17 8 48 (1340,1557) 46x34
17 8 49 (1066,1627) 45x34
17 8 50 (892,1681) 44x33
17 8 51 (867,1409) 40x35
17 8 52 (778,1616) 44x35
17 8 53 (304,1409) 44x33
17 8 54 (261,1634) 38x24
17 8 55 (1091,1247) 37x28
17 8 56 (1341,1112) 44x33
17 8 57 (1536,1374) 43x34
17 8 58 (2081,1415) 45x33
17 8 59 (1844,1023) 44x33
17 8 60 (2136,790) 45x31
17 8 61 (1813,1351) 41x34
17 8 62 (1902,1767) 45x33
17 8 63 (2347,1500) 45x31
17 8 64 (2258,1675) 43x34
17 8 65 (2304,1898) 40x31
17 8 66 (2288,2339) 45x29
17 8 66A (2165,2183) 55x28
17 8 67 (3028,2625) 44x34
17 8 68 (3621,2983) 46x31
17 8 69 (2850,2300) 45x32
17 8 70 (3208,2299) 43x34
17 8 71 (3549,2151) 38x35
17 8 72 (3119,1869) 43x35
17 8 73 (3021,1758) 36x29
17 8 74 (2867,1601) 41x34
17 8 75 (2556,1795) 43x34
17 8 76 (2408,1112) 43x34
17 8 77 (2734,1230) 42x34
17 8 78 (2882,994) 44x34
17 8 79 (2852,845) 43x34
17 8 80 (2703,668) 43x30
17 8 81 (3128,854) 60x46
17 8 82 (3061,728) 38x27
17 8 83 (3147,1114) 45x31
17 8 84 (3532,1557) 43x34
17 8 85 (3443,1705) 45x34
17 8 86 (3561,1352) 45x31
17 8 87 (4198,1260) 45x34
17 8 88 (4510,1291) 46x29
17 8 89 (4599,890) 45x30
17 8 90 (4347,727) 45x30
17 8 91 (4214,846) 41x34
17 8 92 (4466,987) 46x42
17 8 93 (4318,1187) 45x32
17 8 94 (4035,964) 43x34
17 8 95 (3769,1023) 45x33
17 8 95A (3759,1142) 65x35
17 8 96 (3561,1172) 45x32
17 8 97 (3356,965) 39x30
17 8 98 (3561,757) 46x30
17 8 99 (3769,757) 45x30
17 8 100 (3764,430) 58x34
17 8 100A (3754,137) 73x30
17 8 101 (3468,282) 54x34
17 8 102 (3305,432) 54x29
17 8 103 (3467,549) 57x33
17 8 104 (4239,429) 56x35
17 8 105 (3883,1854) 58x35
17 8 106 (4120,1855) 58x34
17 8 107 (3823,1972) 57x35
17 8 108 (4532,1737) 59x32
17 8 109 (4683,1499) 58x34
17 8 110 (5064,1715) 70x49
17 8 111 (4120,2300) 54x34
17 8 112 (3823,2448) 58x34
17 8 113 (3616,2388) 58x34
17 8 114 (3897,2655) 56x35
17 8 115 (4239,2447) 58x35
17 8 116 (4358,2892) 58x34
17 8 117 (4506,2877) 57x35
17 8 118 (4622,2529) 59x34
17 8 118A (5030,2451) 72x31
17 8 119 (5602,1488) 58x53
17 8 120 (5602,2003) 58x34
17 8 121 (5988,2092) 51x30
17 8 122 (5631,2415) 58x34
17 8 123 (5218,2092) 54x31
17 8 124 (5186,2359) 55x32
17 8 125 (4654,2090) 58x35
17 8 126 (5009,2091) 58x34
17 8 127 (4506,2343) 57x35
17 8 128 (4090,3160) 59x34
17 8 129 (3912,3339) 58x34
17 8 130 (4328,3042) 58x34
17 8 131 (4211,3255) 62x34
17 8 132 (4402,3398) 58x34
17 8 133 (4476,3546) 58x34
17 8 134 (3720,3339) 54x30
17 8 135 (3572,3692) 58x35
17 8 136 (3557,4169) 58x34
17 8 137 (3675,4405) 57x35
17 8 138 (3931,4153) 54x30
17 8 139 (4134,3902) 58x34
17 8 140 (3912,3768) 58x35
17 8 141 (4358,4198) 54x35
17 8 142 (4507,4407) 54x32
17 8 143 (4446,4672) 58x35
17 8 144 (4298,4820) 56x35
17 8 145 (4832,2847) 58x35
17 8 146 (4818,3029) 50x26
17 8 147 (5098,2952) 57x35
17 8 147A (4989,2981) 33x32
17 8 147B (4990,2922) 29x29
17 8 147C (5050,2864) 31x28
17 8 147D (5112,2863) 27x28
17 8 147E (5170,2862) 29x33
17 8 147F (5232,2921) 24x34
17 8 147G (5230,2983) 28x29
17 8 148 (5040,3278) 55x31
17 8 149 (5069,3545) 58x35
17 8 150 (4778,3472) 52x33
17 8 151 (4771,3722) 55x36
17 8 152 (4950,3713) 54x29
17 8 153 (5070,3767) 58x43
17 8 154 (5424,3041) 56x35
17 8 155 (5335,2832) 58x35
17 8 156 (5557,3248) 58x35
17 8 157 (5454,3515) 57x35
17 8 158 (5409,3812) 59x35
17 8 159 (5809,3633) 58x35
17 8 160 (5705,3427) 58x34
17 8 161 (6194,3679) 54x34
17 8 162 (6313,3516) 58x34
17 8 163 (5957,3339) 58x34
17 8 164 (6032,3103) 53x28
17 8 165 (5600,2983) 57x30
17 8 166 (5987,2685) 58x34
17 8 166A (6206,2107) 90x33
17 8 167 (6446,2891) 57x35
17 8 168 (6816,2626) 59x34
17 8 169 (7113,3101) 58x34
17 8 170 (7750,3049) 59x36
17 8 171 (6368,3185) 56x36
17 8 SL10A-1 (1352,923) 62x25
17 8 SL10A-9 (3182,776) 64x25
17 8 SL12-21 (167,1620) 61x25
17 8 SL15-12 (2063,612) 63x25
17 8 T18 (835,1577) 47x23
17 8 T19 (717,1577) 44x24
17 8 T21 (5273,3635) 57x30
17 8 T22 (5631,3635) 55x30
18 9 1 (3531,3774) 44x58
18 9 2 (4231,4088) 30x32
18 9 2 (3738,3569) 29x37
18 9 3 (4062,3989) 29x36
18 9 4 (4692,3525) 29x38
18 9 4 (5000,3525) 29x38
18 9 4 (5676,3525) 29x38
18 9 4 (5170,4080) 42x37
18 9 4 (4938,3279) 28x37
18 9 4 (5307,3340) 28x37
18 9 4 (4323,3710) 28x37
18 9 4 (4815,3833) 28x37
18 9 4 (5553,3957) 28x37
18 9 4 (5615,4203) 28x37
18 9 5 (4873,3933) 30x37
18 9 5 (5365,3706) 30x36
18 9 5 (4581,3571) 29x36
18 9 5 (5378,4102) 30x34
18 9 5-52B (3694,4514) 72x31
18 9 6 (4683,3756) 30x35
18 9 6-112A (3892,5452) 87x31
18 9 7 (4878,2972) 27x36
18 9 7 (4570,3403) 27x36
18 9 7 (3955,3588) 27x36
18 9 7-2 (3617,3636) 43x31
18 9 7-14 (3700,3637) 53x29
18 9 7-52 (6010,5611) 56x31
18 9 7-64 (4955,5314) 55x31
18 9 7-136 (1609,1693) 71x31
18 9 7-146 (2626,2510) 70x31
18 9 7-147 (3118,2449) 68x30
18 9 8 (5000,2780) 30x36
18 9 8-23 (6197,3475) 56x28
18 9 8-95A (5946,1431) 72x31
18 9 8-110 (7225,1556) 69x31
18 9 8-119 (7317,1186) 69x31
18 9 9 (4751,3194) 28x43
18 9 9 (4292,3435) 29x34
18 9 10 (4455,3448) 45x49
18 9 10-1 (4634,802) 51x31
18 9 10-31 (6815,154) 62x28
18 9 11 (5611,3650) 38x36
18 9 12 (5058,3650) 41x47
18 9 13 (6073,3926) 42x37
18 9 13 (5888,4081) 42x36
18 9 13A (6113,4137) 62x36
18 9 14 (6073,3772) 40x37
18 9 15 (5950,3788) 41x36
18 9 16 (5734,4451) 42x36
18 9 17 (5181,4296) 40x36
18 9 18 (5368,4481) 42x36
18 9 19 (5365,4727) 42x37
18 9 20 (4992,4943) 46x36
18 9 21 (5331,5066) 42x36
18 9 22 (5284,5206) 45x36
18 9 23 (5557,5076) 46x36
18 9 23 (5946,5221) 46x36
18 9 23 (5568,5437) 46x36
18 9 24 (5950,4881) 44x37
18 9 25 (5669,4913) 46x36
18 9 26 (6100,5252) 46x36
18 9 27 (6091,5639) 44x36
18 9 28 (5522,5828) 45x35
18 9 29 (4931,4204) 46x36
18 9 30 (4931,4544) 45x33
18 9 31 (4223,4420) 42x36
18 9 32 (4438,4389) 45x36
18 9 33 (4033,4481) 46x36
18 9 34 (3710,4212) 44x37
18 9 35 (3534,4530) 45x35
18 9 36 (3669,4389) 46x36
18 9 37 (4377,4821) 44x36
18 9 38 (4223,4851) 46x36
18 9 39 (3946,5160) 45x34
18 9 40 (4314,5343) 46x37
18 9 41 (4837,5034) 42x37
18 9 42 (4684,5251) 46x37
18 9 43 (4558,5443) 47x37
18 9 44 (4212,5555) 45x37
18 9 45 (4622,5743) 47x37
18 9 46 (4222,5743) 47x37
18 9 47 (5114,5713) 45x37
18 9 48 (5114,5435) 47x37
18 9 49 (5053,2601) 47x37
18 9 50 (5207,2448) 46x36
18 9 51 (4776,2757) 43x36
18 9 52 (5514,2849) 46x36
18 9 53 (5637,2910) 47x36
18 9 54 (5699,3093) 45x37
18 9 55 (5976,3157) 47x36
18 9 56 (6006,3372) 47x36
18 9 57 (6031,3500) 44x36
18 9 58 (5360,2510) 47x36
18 9 59 (5545,2571) 47x36
18 9 59A (5597,2418) 66x36
18 9 60 (5668,2757) 46x36
18 9 61 (5668,2201) 43x36
18 9 62 (5945,2479) 46x36
18 9 63 (6068,2387) 47x36
18 9 63A (6042,2264) 67x35
18 9 64 (6068,2570) 45x37
18 9 64A (6042,2693) 67x37
18 9 65 (4033,2999) 56x42
18 9 66 (3853,3404) 47x35
18 9 67 (3699,3033) 45x36
18 9 68 (3463,3270) 47x36
18 9 69 (3053,3742) 46x36
18 9 70 (4315,2787) 46x36
18 9 71 (4773,2354) 49x39
18 9 71 (4623,2479) 42x36
18 9 72 (4654,2324) 45x37
18 9 73 (4285,2201) 46x36
18 9 74 (4563,1902) 44x37
18 9 74 (4684,2043) 44x37
18 9 75 (3977,2293) 46x36
18 9 76 (4223,1893) 46x36
18 9 77 (4623,1739) 44x36
18 9 78 (4346,1185) 46x36
18 9 79 (4131,969) 45x36
18 9 80 (4560,969) 46x36
18 9 81 (4684,1339) 43x36
18 9 82 (4345,785) 46x36
18 9 83 (3330,1492) 47x36
18 9 83 (3822,1492) 47x36
18 9 83 (3699,2109) 47x36
18 9 84 (3638,1830) 45x37
18 9 85 (3453,2293) 47x36
18 9 86 (3084,2110) 46x34
18 9 87 (3453,2663) 45x36
18 9 88 (3238,2849) 47x36
18 9 89 (3176,2941) 46x36
18 9 90 (3053,2694) 46x36
18 9 91 (2807,2818) 43x36
18 9 92 (2534,2760) 40x31
18 9 93 (2315,2725) 47x37
18 9 93A (2452,2896) 66x35
18 9 94 (2161,2971) 45x37
18 9 95 (2530,3125) 47x37
18 9 96 (2807,3249) 47x36
18 9 97 (3022,3280) 45x36
18 9 98 (2776,1247) 47x36
18 9 99 (2776,630) 47x36
18 9 99A (2828,401) 66x35
18 9 100 (2281,1678) 59x36
18 9 101 (1911,1678) 55x36
18 9 102 (2065,1956) 58x36
18 9 103 (2496,1956) 59x36
18 9 104 (2281,2170) 57x37
18 9 105 (2127,1431) 59x36
18 9 106 (2281,1216) 59x36
18 9 107 (1942,1092) 57x36
18 9 108 (2927,1956) 59x36
18 9 108A (2539,2263) 87x36
18 9 109 (2034,2479) 59x36
18 9 109 (1696,2571) 59x36
18 9 109 (1142,2849) 59x36
18 9 110 (1542,2665) 54x33
18 9 111A (1822,2382) 95x46
18 9 111B (1477,2483) 79x36
18 9 112 (1696,2849) 58x36
18 9 112A (1916,2663) 79x36
18 9 113 (1296,2725) 59x37
18 9 114 (1296,3032) 57x37
18 9 115 (1094,3042) 59x36
18 9 116 (1444,2955) 60x38
18 9 117 (1265,3219) 57x36
18 9 118 (1542,3280) 59x36
18 9 119 (1788,3650) 58x36
18 9 120 (650,3002) 58x36
18 9 121 (619,2479) 55x36
18 9 122 (896,2602) 58x36
18 9 123 (619,3650) 59x36
18 9 124 (558,3864) 57x37
18 9 125 (881,4081) 58x36
18 9 126 (1265,3650) 59x36
18 9 127 (5237,1884) 78x54
18 9 128 (5557,1986) 58x36
18 9 129 (5164,1922) 58x37
18 9 130 (5049,1678) 59x36
18 9 131 (5464,2217) 54x36
18 9 132 (5480,1235) 58x36
18 9 133 (5448,1803) 59x33
18 9 134 (5741,1769) 57x37
18 9 135 (5849,1170) 59x36
18 9 136 (5989,1246) 59x36
18 9 137 (6249,1247) 57x36
18 9 138 (6526,1277) 59x36
18 9 139 (6064,1431) 58x36
18 9 140 (6482,590) 80x56
18 9 141 (6784,233) 54x37
18 9 142 (6618,721) 58x38
18 9 143 (7046,999) 70x45
18 9 144 (7510,815) 57x37
18 9 145 (7633,999) 59x37
18 9 146 (7603,1215) 59x37
18 9 147 (7403,1200) 57x37
18 9 148 (7424,1357) 59x37
18 9 149 (7080,1307) 59x37
18 9 150 (6941,1555) 58x36
18 9 SL2-6 (5382,2143) 44x28
18 9 SL6-4A (857,3991) 86x31
18 9 SL9-37 (1782,3768) 82x30
18 9 SL10A-8 (2756,139) 70x31
18 9 SL13-32 (4110,5545) 69x30
18 9 T19 (3143,3282) 52x31
18 9 T20 (3020,3389) 52x31
18 9 T24 (3020,3174) 51x31
19 10 1 (1571,2409) 55x52
19 10 2 (2178,2418) 28x34
19 10 3 (2030,2685) 28x34
19 10 4 (2029,2150) 28x36
19 10 5 (2655,2820) 21x27
19 10 6 (2771,3279) 28x33
19 10 7 (2771,3516) 27x35
19 10 8 (2089,3219) 29x34
19 10 9 (3126,3486) 28x34
19 10 9-82 (638,2422) 58x28
19 10 9-141 (3541,4007) 62x24
19 10 10 (2794,1379) 43x35
19 10 10-32 (6525,4376) 118x46
19 10 10-32 (5577,4376) 118x46
19 10 10-32 (6525,3902) 118x46
19 10 10-32 (5577,3902) 118x46
19 10 10-33 (6970,4465) 118x46
19 10 11 (2705,1082) 39x35
19 10 12 (3090,1379) 43x35
19 10 13 (2972,1795) 43x35
19 10 14 (2647,2416) 41x36
19 10 15 (4269,2624) 49x38
19 10 15 (3141,2621) 58x39
19 10 15 (3052,2169) 57x46
19 10 15 (4306,2108) 46x48
19 10 16 (3210,2417) 42x35
19 10 16 (531,949) 58x48
19 10 17 (3417,1874) 38x29
19 10 18 (3862,1806) 39x31
19 10 19 (3851,2011) 67x61
19 10 20 (4599,2418) 45x34
19 10 21 (4273,2432) 41x35
19 10 21 (1681,793) 58x47
19 10 22 (4569,2626) 45x34
19 10 23 (4437,2893) 44x34
19 10 24 (3888,3026) 44x35
19 10 25 (3894,3161) 34x30
19 10 26 (3431,2836) 39x28
19 10 27 (3385,3278) 44x35
19 10 28 (4031,3338) 48x36
19 10 29 (3947,3560) 45x35
19 10 30 (4244,3605) 45x34
19 10 31 (3883,3815) 47x59
19 10 31 (4474,3634) 59x45
19 10 32 (4066,2626) 45x34
19 10 32 (3622,2567) 45x34
19 10 32 (4095,2241) 45x34
19 10 32 (3651,2181) 45x34
19 10 32 (804,1007) 31x29
19 10 33 (3859,2567) 45x34
19 10 33 (3740,2270) 45x34
19 10 33 (1001,878) 56x43
19 10 34 (3770,2416) 44x36
19 10 34 (1200,740) 56x41
19 10 35 (1173,597) 60x46
19 10 35 (3862,2361) 36x30
19 10 36 (6069,4107) 74x57
19 10 37 (6987,4108) 74x55
19 10 38 (3652,1172) 38x30
19 10 39 (4095,1260) 45x36
19 10 40 (4183,1467) 46x36
19 10 41 (4094,1022) 42x36
19 10 42 (4361,1081) 46x36
19 10 43 (4509,1081) 46x36
19 10 44 (4509,1408) 45x36
19 10 45 (4391,1645) 46x36
19 10 46 (4361,1942) 46x36
19 10 47 (4657,1823) 45x37
19 10 48 (4835,1823) 46x36
19 10 49 (5013,1823) 46x36
19 10 50 (5014,2417) 45x35
19 10 51 (5725,2417) 41x35
19 10 52A (5211,2031) 66x35
19 10 52B (5449,1675) 65x35
19 10 53 (5251,1675) 45x35
19 10 54 (5695,1912) 44x36
19 10 55 (5223,2834) 39x30
19 10 56 (5754,2921) 45x36
19 10 57 (6051,2417) 44x36
19 10 58 (6051,2210) 45x35
19 10 59 (6051,2625) 45x35
19 10 60 (6436,2418) 45x34
19 10 61 (6584,2031) 42x35
19 10 62 (6939,2418) 45x34
20 SL1 1 (1912,766) 77x117
20 SL1 2 (2055,967) 90x114
20 SL1 2-1 (2140,408) 116x71
20 SL1 3 (2054,6274) 92x117
20 SL1 3 (2054,1368) 92x116
20 SL1 4 (2452,6072) 94x116
20 SL1 4 (2052,2567) 94x116
20 SL1 5 (3353,5673) 92x117
20 SL1 5 (3353,2268) 92x118
20 SL1 6 (2054,4571) 92x117
20 SL1 7 (756,5674) 88x117
20 SL1 7 (756,2269) 88x118
20 SL1 8 (2053,5574) 94x116
20 SL1 8 (1854,1920) 93x116
20 SL1 9 (2454,6875) 92x116
20 SL1 9 (4453,3771) 92x116
20 SL1 10 (2100,7340) 89x83
20 SL1 10 (4434,3170) 140x117
20 SL1 11 (3134,7125) 131x115
20 SL1 11 (5433,4071) 131x115
20 SL1 12 (4434,4971) 139x115
20 SL1 13 (935,7125) 140x117
20 SL1 13 (3434,4071) 140x117
20 SL1 AV-14 (2098,225) 230x80
21 SL2 1 (1634,2732) 84x131
21 SL2 1A (623,2003) 179x131
21 SL2 1B (625,2489) 174x132
21 SL2 1C (623,2975) 178x133
21 SL2 1D (621,3460) 181x131
21 SL2 1E (2568,2003) 167x131
21 SL2 1F (2570,2489) 164x132
21 SL2 1G (2559,2975) 183x133
21 SL2 1H (2557,3460) 185x131
21 SL2 2 (3201,3826) 100x130
21 SL2 2-45 (1691,1054) 162x94
21 SL2 2A (3644,4067) 187x132
21 SL2 2B (3768,2733) 182x130
21 SL2 3 (3806,2369) 102x132
21 SL2 4 (3675,6058) 86x97
21 SL2 5 (5380,3097) 103x132
21 SL2 6 (5379,1153) 104x135
21 SL2 6-95A (3839,2026) 260x95
21 SL2 9-131 (6361,1530) 228x96
22 SL3 1 (3601,496) 51x81
22 SL3 1A (3375,674) 96x81
22 SL3 2 (3221,1406) 66x78
22 SL3 2-56F (3567,141) 117x44
22 SL3 2A (3228,1068) 104x81
22 SL3 3 (2314,979) 68x75
22 SL3 3-123 (2980,431) 112x46
22 SL3 3-135 (2104,1967) 106x45
22 SL3 3A (2775,765) 104x79
22 SL3 3B (2428,756) 50x36
22 SL3 3C (2295,231) 104x76
22 SL3 3D (2295,1404) 106x80
22 SL3 3E (1834,777) 70x53
22 SL3 4 (1405,548) 66x82
22 SL3 5 (1407,1296) 68x78
22 SL3 5A (1134,1360) 78x58
22 SL3 6 (1778,1248) 70x74
22 SL3 7 (1461,1671) 64x81
22 SL3 8 (1779,1889) 69x74
22 SL3 9 (1833,1620) 69x72
22 SL3 10 (2413,1778) 90x80
22 SL3 11 (2742,1470) 72x51
22 SL3 12 (4122,1138) 84x80
22 SL3 13 (3969,1833) 76x78
22 SL3 14 (3746,1295) 86x82
22 SL3 15 (3480,1777) 90x81
22 SL3 16 (2733,1886) 90x80
22 SL3 17 (3855,2152) 82x80
22 SL3 18 (3535,2472) 84x80
22 SL3 19 (3748,3327) 84x80
22 SL3 20 (2676,2955) 90x78
22 SL3 21 (2143,2632) 83x80
22 SL3 22 (2889,3222) 90x78
22 SL3 23 (2700,4053) 90x78
22 SL3 24 (2676,4394) 87x81
22 SL3 25 (3582,4341) 90x81
22 SL3 26 (2196,5198) 90x78
22 SL3 27 (2836,5462) 88x82
22 SL3 28 (3529,5893) 90x78
22 SL3 29 (1396,5785) 90x78
22 SL3 30 (199,7306) 83x79
22 SL3 EX-12 (231,7599) 180x80
22 SL3 TS-19 (953,1227) 119x59
23 SL4 1 (4464,710) 63x80
23 SL4 2 (4057,1392) 60x76
23 SL4 2A (3805,1605) 81x68
23 SL4 3 (3175,1393) 62x74
23 SL4 4 (4055,1934) 61x77
23 SL4 5 (3717,2817) 62x75
23 SL4 5 (5073,2273) 62x78
23 SL4 5-51 (4611,916) 103x47
23 SL4 6 (4057,2204) 55x69
23 SL4 6-66 (7078,5374) 106x51
23 SL4 6-112 (1608,4624) 137x52
23 SL4 7 (3535,2232) 58x78
23 SL4 7-44A (5064,6697) 142x61
23 SL4 8 (3311,1867) 62x75
23 SL4 9 (4465,2734) 62x74
23 SL4 9 (4327,2411) 61x74
23 SL4 10 (4725,1866) 89x76
23 SL4 11 (4996,1528) 81x76
23 SL4 12 (5538,1595) 89x77
23 SL4 13 (5945,4649) 90x76
23 SL4 13 (5877,1866) 90x76
23 SL4 14 (5742,2510) 88x77
23 SL4 14A (5244,2612) 136x78
23 SL4 15 (6149,2613) 90x76
23 SL4 16 (5742,3224) 90x76
23 SL4 17 (4861,3564) 87x78
23 SL4 17A (5041,3194) 130x66
23 SL4 18 (3641,3564) 90x76
23 SL4 18A (3823,3196) 125x66
23 SL4 19 (2759,3632) 89x76
23 SL4 20 (2344,2886) 98x76
23 SL4 21 (1734,3020) 90x77
23 SL4 22 (2344,2478) 98x76
23 SL4 23 (2954,2614) 99x76
23 SL4 23A (3337,2478) 145x76
23 SL4 24 (2479,1934) 97x78
23 SL4 25 (2886,2070) 99x77
23 SL4 26 (2750,1051) 99x77
23 SL4 27 (2479,1459) 96x78
23 SL4 27A (1854,2075) 129x66
23 SL4 28 (1538,4489) 88x65
23 SL4 28 (1331,1665) 90x73
23 SL4 29 (515,1529) 98x76
23 SL4 30 (1123,2274) 99x77
23 SL4 31 (2114,4246) 76x62
23 SL4 32 (2478,4515) 99x76
23 SL4 33 (2885,4650) 100x75
23 SL4 34 (2817,5327) 98x77
23 SL4 35 (2207,5328) 100x76
23 SL4 36 (1733,6008) 100x76
23 SL4 37 (1190,5871) 97x78
23 SL4 38 (2885,6009) 100x75
23 SL4 39 (3088,6416) 100x75
23 SL4 40 (4307,5055) 100x77
23 SL4 40A (3810,5260) 147x78
23 SL4 40B (3235,4920) 146x78
23 SL4 40C (3216,5695) 100x145
23 SL4 40D (4283,5463) 149x78
23 SL4 40E (4830,5055) 141x78
23 SL4 40F (5272,5701) 139x77
23 SL4 40G (4283,5836) 150x77
23 SL4 41 (3358,5939) 92x77
23 SL4 42 (3901,6007) 100x78
23 SL4 43 (4172,6142) 101x77
23 SL4 44 (4443,6414) 99x77
23 SL4 45 (5196,6389) 81x61
23 SL4 46 (5595,6007) 101x77
23 SL4 46 (4782,6007) 101x77
23 SL4 47 (5053,5870) 98x79
23 SL4 48 (5866,6142) 101x77
23 SL4 49 (6205,5870) 101x77
23 SL4 50 (5800,5702) 99x75
23 SL4 51 (5732,5328) 91x76
23 SL4 52A (6082,5328) 146x77
23 SL4 52B (6422,5328) 145x77
23 SL4 53 (6753,5128) 86x65
23 SL4 54 (6206,4920) 98x77
23 SL4 55 (5097,4515) 95x75
23 SL4 56 (5528,4514) 100x75
23 SL4 57 (4715,4649) 97x78
23 SL4 58 (4308,4446) 100x76
